"ID","Geslacht","Leeftijd","Perioden","TotaalVerkeersdoden_1","Voetganger_2","Fiets_3","BromEnSnorfietsEnBrommobiel_4","GemotInvalidenvrtgInclScootmobiel_5","Motorfiets_6","Personenauto_7","BestelautoVrachtwagen_8","OverigeDeelname_9","OnbekendeDeelname_10"
0,"   3","  99","1996JJ00","    1251","     132","     239","     100","       2","      94","     609","      27","      31","      17"
1,"   3","  99","1997JJ00","    1235","     132","     264","      86","      12","      98","     591","      34","       5","      13"
2,"   3","  99","1998JJ00","    1149","     133","     212","      82","       3","      85","     603","      21","       7","       3"
3,"   3","  99","1999JJ00","    1186","     130","     227","      96","      10","      83","     587","      41","       4","       8"
4,"   3","  99","2000JJ00","    1166","     114","     233","     104","       6","      95","     543","      58","       9","       4"
5,"   3","  99","2001JJ00","    1083","     115","     225","      78","       7","      85","     504","      59","       4","       6"
6,"   3","  99","2002JJ00","    1066","     108","     195","      93","      12","     102","     503","      47","       6","       0"
7,"   3","  99","2003JJ00","    1088","     107","     219","      87","      12","      96","     496","      61","      10","       0"
8,"   3","  99","2004JJ00","     881","      77","     180","      58","      29","      91","     420","      22","       4","       0"
9,"   3","  99","2005JJ00","     817","      89","     181","      62","      16","      78","     356","      26","       6","       3"
10,"   3","  99","2006JJ00","     811","      73","     216","      66","      21","      59","     340","      30","       6","       0"
11,"   3","  99","2007JJ00","     791","      91","     189","      67","      13","      65","     317","      43","       5","       1"
12,"   3","  99","2008JJ00","     750","      62","     181","      54","      22","      67","     317","      39","       6","       2"
13,"   3","  99","2009JJ00","     720","      68","     185","      55","      12","      70","     296","      28","       1","       5"
14,"   3","  99","2010JJ00","     640","      72","     162","      43","      19","      63","     246","      27","       7","       1"
15,"   3","  99","2011JJ00","     661","      74","     200","      45","      29","      52","     231","      22","       7","       1"
16,"   3","  99","2012JJ00","     650","      68","     200","      50","      23","      54","     232","      19","       3","       1"
17,"   3","  99","2013JJ00","     570","      56","     184","      53","      32","      29","     193","      22","       1","       0"
18,"   3","  99","2014JJ00","     570","      49","     185","      47","      27","      55","     187","      15","       3","       2"
19,"   3","  99","2015JJ00","     621","      57","     185","      45","      41","      47","     224","      19","       2","       1"
20,"   3","   1","1996JJ00","      68","      12","      30","       4","       0","       0","      16","       0","       3","       3"
21,"   3","   1","1997JJ00","      68","      16","      35","       1","       0","       0","      14","       1","       1","       0"
22,"   3","   1","1998JJ00","      49","      10","      22","       0","       0","       0","      17","       0","       0","       0"
23,"   3","   1","1999JJ00","      83","      20","      38","       1","       0","       2","      21","       1","       0","       0"
24,"   3","   1","2000JJ00","      59","      11","      30","       2","       0","       0","      12","       4","       0","       0"
25,"   3","   1","2001JJ00","      50","      14","      19","       1","       0","       1","      15","       0","       0","       0"
26,"   3","   1","2002JJ00","      41","      16","      20","       0","       0","       1","       4","       0","       0","       0"
27,"   3","   1","2003JJ00","      64","      17","      21","       2","       0","       0","      18","       3","       3","       0"
28,"   3","   1","2004JJ00","      36","       6","      22","       0","       1","       1","       5","       0","       1","       0"
29,"   3","   1","2005JJ00","      31","       9","      14","       0","       0","       0","       8","       0","       0","       0"
30,"   3","   1","2006JJ00","      37","       7","      17","       0","       0","       0","      13","       0","       0","       0"
31,"   3","   1","2007JJ00","      36","       8","      16","       3","       0","       0","       6","       1","       2","       0"
32,"   3","   1","2008JJ00","      25","       3","      13","       0","       1","       0","       7","       1","       0","       0"
33,"   3","   1","2009JJ00","      24","       7","      16","       0","       0","       0","       1","       0","       0","       0"
34,"   3","   1","2010JJ00","      18","       4","       9","       0","       0","       0","       5","       0","       0","       0"
35,"   3","   1","2011JJ00","      19","       3","      10","       1","       0","       0","       4","       0","       0","       1"
36,"   3","   1","2012JJ00","      25","       5","      13","       0","       0","       0","       6","       1","       0","       0"
37,"   3","   1","2013JJ00","       9","       4","       5","       0","       0","       0","       0","       0","       0","       0"
38,"   3","   1","2014JJ00","      19","       3","      13","       0","       0","       0","       3","       0","       0","       0"
39,"   3","   1","2015JJ00","      18","       3","       9","       2","       0","       0","       4","       0","       0","       0"
40,"   3","   2","1996JJ00","     130","      11","      26","      47","       0","       5","      36","       1","       3","       1"
41,"   3","   2","1997JJ00","     120","       5","      27","      39","       0","       5","      41","       1","       2","       0"
42,"   3","   2","1998JJ00","     126","       8","      19","      48","       0","       2","      46","       2","       1","       0"
43,"   3","   2","1999JJ00","     120","       5","      22","      35","       0","       2","      53","       2","       0","       1"
44,"   3","   2","2000JJ00","     138","       6","      20","      43","       0","       7","      52","       8","       2","       0"
45,"   3","   2","2001JJ00","     104","      11","      18","      25","       0","       3","      46","       1","       0","       0"
46,"   3","   2","2002JJ00","     138","       5","      21","      37","       0","       4","      66","       5","       0","       0"
47,"   3","   2","2003JJ00","     115","       4","      15","      29","       0","       2","      59","       6","       0","       0"
48,"   3","   2","2004JJ00","      85","       3","      11","      21","       0","       3","      44","       2","       1","       0"
49,"   3","   2","2005JJ00","      71","       4","      12","      22","       0","       1","      32","       0","       0","       0"
50,"   3","   2","2006JJ00","      64","       2","      16","      15","       0","       1","      26","       2","       2","       0"
51,"   3","   2","2007JJ00","      79","       5","      15","      25","       0","       2","      28","       3","       1","       0"
52,"   3","   2","2008JJ00","      66","       4","      12","      18","       0","       2","      30","       0","       0","       0"
53,"   3","   2","2009JJ00","      69","       5","      10","      14","       0","       1","      36","       3","       0","       0"
54,"   3","   2","2010JJ00","      46","       1","      10","      10","       0","       2","      19","       3","       1","       0"
55,"   3","   2","2011JJ00","      45","       4","      11","      12","       0","       0","      17","       0","       1","       0"
56,"   3","   2","2012JJ00","      29","       4","       8","       4","       0","       0","      12","       0","       1","       0"
57,"   3","   2","2013JJ00","      41","       1","       8","       8","       0","       2","      21","       1","       0","       0"
58,"   3","   2","2014JJ00","      43","       3","       8","      10","       0","       1","      18","       0","       1","       2"
59,"   3","   2","2015JJ00","      44","       1","       8","       6","       0","       3","      22","       3","       1","       0"
60,"   3","   3","1996JJ00","     296","      15","      10","      13","       0","      33","     201","       6","      16","       2"
61,"   3","   3","1997JJ00","     283","       8","      16","       6","       0","      38","     203","       9","       0","       3"
62,"   3","   3","1998JJ00","     262","      16","      10","      10","       0","      28","     192","       3","       3","       0"
63,"   3","   3","1999JJ00","     255","      12","      10","       8","       1","      34","     176","      12","       1","       1"
64,"   3","   3","2000JJ00","     256","      15","      12","      13","       0","      26","     173","      16","       1","       0"
65,"   3","   3","2001JJ00","     218","       7","      15","      12","       0","      22","     142","      18","       1","       1"
66,"   3","   3","2002JJ00","     231","      11","      16","       9","       0","      28","     151","      15","       1","       0"
67,"   3","   3","2003JJ00","     214","       6","       9","      10","       0","      36","     143","      10","       0","       0"
68,"   3","   3","2004JJ00","     182","       8","      13","       7","       1","      31","     117","       4","       1","       0"
69,"   3","   3","2005JJ00","     140","       7","      12","       6","       0","      12","      97","       5","       1","       0"
70,"   3","   3","2006JJ00","     137","       7","       3","      14","       0","      15","      92","       6","       0","       0"
71,"   3","   3","2007JJ00","     149","       9","      12","       8","       0","      21","      89","      10","       0","       0"
72,"   3","   3","2008JJ00","     129","       4","       7","       6","       0","      17","      88","       7","       0","       0"
73,"   3","   3","2009JJ00","     134","       7","       8","       7","       0","      23","      82","       7","       0","       0"
74,"   3","   3","2010JJ00","     114","       9","       8","       6","       0","      15","      68","       6","       1","       1"
75,"   3","   3","2011JJ00","      99","       8","       9","       4","       0","      19","      56","       2","       1","       0"
76,"   3","   3","2012JJ00","     106","       8","       5","       6","       0","      11","      69","       5","       2","       0"
77,"   3","   3","2013JJ00","     103","       3","      10","      11","       0","      11","      61","       7","       0","       0"
78,"   3","   3","2014JJ00","      83","       8","       6","       5","       0","      18","      42","       4","       0","       0"
79,"   3","   3","2015JJ00","      87","       6","       8","       8","       0","      13","      47","       4","       0","       1"
80,"   3","   4","1996JJ00","     160","       8","       4","       3","       0","      27","     111","       5","       1","       1"
81,"   3","   4","1997JJ00","     165","       7","      15","       8","       0","      32","      90","       9","       0","       4"
82,"   3","   4","1998JJ00","     161","      13","      11","       6","       0","      23","     103","       5","       0","       0"
83,"   3","   4","1999JJ00","     158","       8","      11","      12","       0","      27","      88","       9","       2","       1"
84,"   3","   4","2000JJ00","     157","      12","      19","       4","       0","      24","      83","      15","       0","       0"
85,"   3","   4","2001JJ00","     177","       5","      18","       5","       0","      39","      91","      16","       1","       2"
86,"   3","   4","2002JJ00","     150","       7","      14","      11","       0","      34","      77","       6","       1","       0"
87,"   3","   4","2003JJ00","     162","      10","      13","      13","       0","      28","      84","      12","       2","       0"
88,"   3","   4","2004JJ00","     103","       6","       8","       1","       0","      22","      61","       5","       0","       0"
89,"   3","   4","2005JJ00","     115","       7","       9","       5","       0","      29","      60","       5","       0","       0"
90,"   3","   4","2006JJ00","      91","       4","       8","       7","       0","      15","      54","       3","       0","       0"
91,"   3","   4","2007JJ00","      95","      11","       5","       4","       0","      13","      52","      10","       0","       0"
92,"   3","   4","2008JJ00","      96","       4","       7","       5","       0","      13","      58","       7","       2","       0"
93,"   3","   4","2009JJ00","      83","       5","       7","       2","       0","      22","      40","       6","       0","       1"
94,"   3","   4","2010JJ00","      69","       6","       5","       3","       0","      11","      41","       3","       0","       0"
95,"   3","   4","2011JJ00","      58","       7","       2","       3","       0","       8","      31","       7","       0","       0"
96,"   3","   4","2012JJ00","      64","       7","       5","       4","       1","      14","      29","       4","       0","       0"
97,"   3","   4","2013JJ00","      38","       5","       4","       3","       0","       4","      21","       1","       0","       0"
98,"   3","   4","2014JJ00","      42","       1","       5","       2","       0","       9","      23","       2","       0","       0"
99,"   3","   4","2015JJ00","      54","       5","       4","       5","       0","       8","      30","       2","       0","       0"
100,"   3","   5","1996JJ00","     134","      12","      14","       4","       0","      14","      80","       7","       1","       2"
101,"   3","   5","1997JJ00","     135","       8","      23","       5","       1","      13","      72","      10","       1","       2"
102,"   3","   5","1998JJ00","     121","      11","      12","       3","       0","      22","      65","       8","       0","       0"
103,"   3","   5","1999JJ00","     118","       9","      18","       5","       0","      10","      70","       4","       1","       1"
104,"   3","   5","2000JJ00","     126","      12","      15","       8","       0","      23","      55","       6","       5","       2"
105,"   3","   5","2001JJ00","     117","      11","      20","       5","       0","      13","      58","       9","       0","       1"
106,"   3","   5","2002JJ00","     125","      11","      16","       6","       0","      23","      61","       8","       0","       0"
107,"   3","   5","2003JJ00","     120","      10","      12","       3","       0","      19","      60","      14","       2","       0"
108,"   3","   5","2004JJ00","     104","      10","      14","       6","       2","      19","      47","       6","       0","       0"
109,"   3","   5","2005JJ00","     102","       5","      16","       5","       1","      21","      42","       7","       4","       1"
110,"   3","   5","2006JJ00","     113","      10","      22","       5","       3","      15","      48","       7","       3","       0"
111,"   3","   5","2007JJ00","      85","       4","      17","       3","       2","      17","      35","       7","       0","       0"
112,"   3","   5","2008JJ00","      89","       9","      15","       4","       1","      19","      30","      10","       0","       1"
113,"   3","   5","2009JJ00","      69","       8","      10","       7","       0","       9","      31","       3","       0","       1"
114,"   3","   5","2010JJ00","      78","       7","      11","       4","       0","      16","      34","       5","       1","       0"
115,"   3","   5","2011JJ00","      73","       4","      14","       7","       0","      12","      30","       5","       1","       0"
116,"   3","   5","2012JJ00","      77","       4","      15","       5","       0","      16","      33","       3","       0","       1"
117,"   3","   5","2013JJ00","      56","       3","      13","       5","       0","       4","      26","       5","       0","       0"
118,"   3","   5","2014JJ00","      58","       6","      16","       7","       0","      14","      12","       3","       0","       0"
119,"   3","   5","2015JJ00","      55","       4","       8","       4","       1","      14","      22","       2","       0","       0"
120,"   3","   6","1996JJ00","     111","      10","      20","       7","       0","      12","      53","       5","       4","       0"
121,"   3","   6","1997JJ00","     116","      21","      23","       4","       1","       7","      55","       2","       0","       3"
122,"   3","   6","1998JJ00","     114","      19","      30","       5","       1","       4","      52","       2","       1","       0"
123,"   3","   6","1999JJ00","     110","      13","      27","       8","       0","       6","      48","       8","       0","       0"
124,"   3","   6","2000JJ00","     121","      10","      23","       6","       0","      13","      60","       8","       1","       0"
125,"   3","   6","2001JJ00","     112","      10","      30","       7","       1","       5","      46","      10","       2","       1"
126,"   3","   6","2002JJ00","      88","       7","      15","       5","       1","       8","      41","      11","       0","       0"
127,"   3","   6","2003JJ00","      98","      10","      25","       4","       1","      10","      37","      11","       0","       0"
128,"   3","   6","2004JJ00","      94","       8","      22","       4","       1","      13","      43","       3","       0","       0"
129,"   3","   6","2005JJ00","      99","      14","      22","       7","       1","      11","      36","       7","       1","       0"
130,"   3","   6","2006JJ00","      80","       8","      22","       3","       1","       7","      29","      10","       0","       0"
131,"   3","   6","2007JJ00","      88","      14","      17","       6","       0","      11","      37","       3","       0","       0"
132,"   3","   6","2008JJ00","      95","       8","      20","       6","       4","      14","      32","      10","       1","       0"
133,"   3","   6","2009JJ00","      68","       5","      19","       3","       1","       9","      25","       5","       1","       0"
134,"   3","   6","2010JJ00","      72","      12","      16","       1","       4","      16","      18","       5","       0","       0"
135,"   3","   6","2011JJ00","      67","       8","      17","       5","       2","      11","      20","       2","       2","       0"
136,"   3","   6","2012JJ00","      70","       8","      12","      11","       1","      10","      25","       3","       0","       0"
137,"   3","   6","2013JJ00","      68","       6","      20","       9","       2","       7","      17","       6","       1","       0"
138,"   3","   6","2014JJ00","      57","       4","      16","       6","       0","       8","      19","       3","       1","       0"
139,"   3","   6","2015JJ00","      73","      14","      13","       7","       3","       5","      23","       8","       0","       0"
140,"   3","   7","1996JJ00","      91","      14","      28","       2","       1","       1","      40","       3","       0","       2"
141,"   3","   7","1997JJ00","      93","      14","      31","       8","       3","       1","      33","       2","       1","       0"
142,"   3","   7","1998JJ00","     110","      11","      46","       3","       1","       1","      45","       1","       0","       2"
143,"   3","   7","1999JJ00","     105","      17","      30","       7","       2","       1","      42","       3","       0","       3"
144,"   3","   7","2000JJ00","      97","      16","      34","       8","       0","       1","      38","       0","       0","       0"
145,"   3","   7","2001JJ00","      93","      11","      28","       7","       1","       2","      40","       4","       0","       0"
146,"   3","   7","2002JJ00","      73","      11","      24","       6","       4","       3","      23","       1","       1","       0"
147,"   3","   7","2003JJ00","     110","      14","      41","       7","       0","       1","      41","       4","       2","       0"
148,"   3","   7","2004JJ00","      72","       3","      24","       5","       5","       2","      31","       1","       1","       0"
149,"   3","   7","2005JJ00","      66","       7","      23","       2","       4","       3","      26","       1","       0","       0"
150,"   3","   7","2006JJ00","      90","       9","      39","       9","       0","       5","      27","       1","       0","       0"
151,"   3","   7","2007JJ00","      71","      13","      19","       6","       1","       1","      25","       4","       1","       1"
152,"   3","   7","2008JJ00","      68","       6","      28","       4","       0","       2","      22","       3","       2","       1"
153,"   3","   7","2009JJ00","      75","       6","      33","       4","       2","       5","      21","       3","       0","       1"
154,"   3","   7","2010JJ00","      66","       5","      23","       9","       5","       2","      17","       4","       1","       0"
155,"   3","   7","2011JJ00","      74","       6","      32","       4","       3","       2","      20","       5","       2","       0"
156,"   3","   7","2012JJ00","      77","       7","      35","       7","       4","       1","      20","       3","       0","       0"
157,"   3","   7","2013JJ00","      55","       5","      28","       6","       3","       1","      11","       1","       0","       0"
158,"   3","   7","2014JJ00","      59","       4","      27","       6","       2","       3","      15","       2","       0","       0"
159,"   3","   7","2015JJ00","      78","       6","      36","       5","       4","       4","      23","       0","       0","       0"
160,"   3","   8","1996JJ00","     161","      29","      70","      11","       1","       2","      42","       0","       2","       4"
161,"   3","   8","1997JJ00","     149","      22","      54","       7","       4","       2","      59","       0","       0","       1"
162,"   3","   8","1998JJ00","     134","      25","      37","       5","       1","       3","      61","       0","       2","       0"
163,"   3","   8","1999JJ00","     144","      25","      40","      14","       4","       0","      58","       2","       0","       1"
164,"   3","   8","2000JJ00","     134","      13","      51","      14","       2","       1","      51","       1","       0","       1"
165,"   3","   8","2001JJ00","     124","      18","      48","      12","       1","       0","      45","       0","       0","       0"
166,"   3","   8","2002JJ00","     109","      19","      38","       6","       2","       1","      40","       1","       2","       0"
167,"   3","   8","2003JJ00","     105","      14","      47","      10","       5","       0","      28","       0","       1","       0"
168,"   3","   8","2004JJ00","     104","      13","      37","      10","       5","       0","      38","       1","       0","       0"
169,"   3","   8","2005JJ00","     110","      17","      44","       8","       5","       1","      34","       0","       0","       1"
170,"   3","   8","2006JJ00","     101","      11","      44","       9","       6","       1","      29","       1","       0","       0"
171,"   3","   8","2007JJ00","      99","      15","      45","       4","       3","       0","      28","       3","       1","       0"
172,"   3","   8","2008JJ00","     101","      11","      47","       6","       5","       0","      31","       0","       1","       0"
173,"   3","   8","2009JJ00","      91","      10","      44","       7","       2","       1","      27","       0","       0","       0"
174,"   3","   8","2010JJ00","      83","      10","      42","       4","       1","       1","      21","       1","       3","       0"
175,"   3","   8","2011JJ00","     100","      14","      46","       5","       9","       0","      25","       1","       0","       0"
176,"   3","   8","2012JJ00","     107","      13","      61","       8","       4","       2","      19","       0","       0","       0"
177,"   3","   8","2013JJ00","      99","      14","      53","       6","       8","       0","      17","       1","       0","       0"
178,"   3","   8","2014JJ00","     106","       5","      56","       6","       6","       2","      31","       0","       0","       0"
179,"   3","   8","2015JJ00","      93","       8","      48","       3","      11","       0","      22","       0","       1","       0"
180,"   3","   9","1996JJ00","     100","      21","      37","       9","       0","       0","      30","       0","       1","       2"
181,"   3","   9","1997JJ00","     106","      31","      40","       8","       3","       0","      24","       0","       0","       0"
182,"   3","   9","1998JJ00","      72","      20","      25","       2","       0","       2","      22","       0","       0","       1"
183,"   3","   9","1999JJ00","      93","      21","      31","       6","       3","       1","      31","       0","       0","       0"
184,"   3","   9","2000JJ00","      78","      19","      29","       6","       4","       0","      19","       0","       0","       1"
185,"   3","   9","2001JJ00","      88","      28","      29","       4","       4","       0","      21","       1","       0","       1"
186,"   3","   9","2002JJ00","     111","      21","      31","      13","       5","       0","      40","       0","       1","       0"
187,"   3","   9","2003JJ00","     100","      22","      36","       9","       6","       0","      26","       1","       0","       0"
188,"   3","   9","2004JJ00","     101","      20","      29","       4","      14","       0","      34","       0","       0","       0"
189,"   3","   9","2005JJ00","      83","      19","      29","       7","       5","       0","      21","       1","       0","       1"
190,"   3","   9","2006JJ00","      98","      15","      45","       4","      11","       0","      22","       0","       1","       0"
191,"   3","   9","2007JJ00","      89","      12","      43","       8","       7","       0","      17","       2","       0","       0"
192,"   3","   9","2008JJ00","      81","      13","      32","       5","      11","       0","      19","       1","       0","       0"
193,"   3","   9","2009JJ00","     107","      15","      38","      11","       7","       0","      33","       1","       0","       2"
194,"   3","   9","2010JJ00","      94","      18","      38","       6","       9","       0","      23","       0","       0","       0"
195,"   3","   9","2011JJ00","     126","      20","      59","       4","      15","       0","      28","       0","       0","       0"
196,"   3","   9","2012JJ00","      95","      12","      46","       5","      13","       0","      19","       0","       0","       0"
197,"   3","   9","2013JJ00","     101","      15","      43","       5","      19","       0","      19","       0","       0","       0"
198,"   3","   9","2014JJ00","     103","      15","      38","       5","      19","       0","      24","       1","       1","       0"
